Course,Planned number of Students,Senior Hours,Assistant Hours
I-2629,20,260,300
I-2630,50,280,360
I-2631,20,260,420
I-2632,40,280,200
I-2633,20,240,240
I-2634,20,240,300
I-2635,60,260,420
I-2636,40,240,360
I-2637,20,280,420
I-2638,20,240,240
I-2639,40,260,200
I-2640,40,280,240
I-2641,40,280,200
I-2642,50,260,360
I-2643,60,280,360
I-2644,50,260,240
I-2645,40,280,280
I-2646,60,260,420
I-2647,20,240,420
I-2648,20,240,240
I-2649,20,260,240
I-2650,50,260,360
I-2651,40,280,300
I-2652,60,260,200
I-2653,50,240,420
I-2654,50,280,240
I-2655,40,260,240
I-2656,60,280,200
I-2657,50,260,360
I-2658,50,280,360
I-2659,20,260,420
I-2660,40,280,360
I-2661,60,280,360
I-2662,60,260,360
I-2663,60,260,280
I-2664,40,240,420
I-2665,60,280,300
I-2666,40,280,200
I-2667,60,280,200
I-2668,60,240,280
I-2669,40,280,420
I-2670,20,240,420
I-2671,20,240,420
I-2672,20,240,280
I-2673,50,280,360
I-2674,40,280,280
I-2675,20,260,240
I-2676,50,280,280
I-2677,60,260,240
I-2678,20,260,360
I-2679,50,240,420
I-2680,60,260,280
I-2681,40,260,200
I-2682,20,240,200
I-2683,60,280,300
I-2684,40,260,240
I-2685,50,280,240
I-2686,50,260,360
I-2687,60,260,240
I-2688,40,260,360
I-2689,20,260,200
I-2690,50,240,360
I-2691,50,260,420
I-2692,60,280,420
I-2693,50,260,200
I-2694,20,280,420
I-2695,20,260,420
I-2696,20,260,200
I-2697,60,260,420
I-2698,40,260,360
I-2699,20,240,200
I-2700,60,240,200
I-2701,50,280,360
I-2702,60,260,360
I-2703,50,240,200
I-2704,40,280,420
I-2705,50,240,280
I-2706,20,240,200
I-2707,60,240,420
I-2708,40,280,200
I-2709,50,280,200
I-2710,50,240,360
I-2711,20,260,300
I-2712,40,280,360
I-2713,20,260,280
I-2714,20,240,280
I-2715,40,280,240
I-2716,50,240,280
I-2717,40,260,360
I-2718,60,240,420
I-2719,40,280,240
I-2720,40,280,200
I-2721,40,240,280
I-2722,60,260,200
I-2723,40,280,420
I-2724,20,280,240
I-2725,50,260,360
I-2726,40,280,420
I-2727,40,280,240
I-2728,60,260,240
I-2729,60,260,200
I-2730,40,240,360
I-2731,50,240,240
I-2732,60,260,200
I-2733,60,280,300
I-2734,50,240,360
I-2735,20,240,300
I-2736,20,280,420
I-2737,50,260,280
I-2738,60,260,200
I-2739,40,260,200
I-2740,40,260,360
I-2741,50,280,420
I-2742,20,260,240
I-2743,20,260,420
I-2744,50,260,300
I-2745,60,280,280
I-2746,50,280,280
I-2747,20,260,420
I-2748,40,240,300
I-2749,50,240,300
I-2750,60,260,200
I-2751,60,260,200
I-2752,50,240,200
I-2753,60,260,300
I-2754,60,240,300
I-2755,60,240,240
I-2756,60,280,360
I-2757,50,280,300
I-2758,50,280,300
I-2759,40,260,240
I-2760,20,260,300
I-2761,60,240,240
I-2762,60,280,240
I-2763,20,240,280
I-2764,60,260,240
I-2765,20,240,200
I-2766,40,280,240
I-2767,50,280,200
I-2768,50,240,300
I-2769,50,240,420
I-2770,60,240,280
I-2771,40,260,200
I-2772,20,280,280
I-2773,60,240,420
I-2774,50,280,240
I-2775,50,240,240
I-2776,50,240,200
I-2777,40,260,360
I-2778,60,280,280
I-2779,20,240,200
I-2780,60,260,200
I-2781,40,240,240
I-2782,60,240,200
I-2783,60,260,300
I-2784,20,260,300
I-2785,40,240,300
I-2786,40,240,240
I-2787,20,280,240
I-2788,20,240,420
I-2789,50,240,420
I-2790,40,240,200
I-2791,50,240,300
I-2792,40,240,280
I-2793,20,280,280
I-2794,60,260,240
I-2795,40,260,300
I-2796,20,240,360
I-2797,60,240,300
I-2798,50,260,240
I-2799,20,280,280
I-2800,60,240,420
I-2801,20,240,300
I-2802,50,240,420
I-2803,60,260,360
I-2804,40,280,420
I-2805,40,260,240
I-2806,20,240,300
I-2807,50,240,240
I-2808,20,260,360
I-2809,50,280,360
I-2810,60,280,420
I-2811,60,240,420
I-2812,50,280,280
I-2813,50,260,200
I-2814,20,240,280
I-2815,60,260,420
I-2816,40,280,240
I-2817,50,260,200
I-2818,20,260,200
I-2819,50,260,300
I-2820,20,280,200
I-2821,50,280,200
I-2822,40,240,240
I-2823,60,280,240
I-2824,40,240,360
I-2825,20,280,280
I-2826,50,260,300
I-2827,60,260,420
I-2828,50,260,300
I-2829,40,240,360
I-2830,40,240,240
I-2831,60,260,300
I-2832,60,240,200
I-2833,60,260,240
I-2834,40,240,360
I-2835,20,280,200
I-2836,50,260,280
I-2837,50,280,300
I-2838,50,260,360
I-2839,20,260,280
I-2840,60,240,240
I-2841,20,280,300
I-2842,20,280,420
I-2843,60,260,360
I-2844,20,260,420
I-2845,60,240,420
I-2846,40,240,280
I-2847,20,240,300
I-2848,20,260,240
I-2849,20,260,240
I-2850,50,240,420
I-2851,20,280,360
I-2852,60,240,360
I-2853,50,280,300
I-2854,40,280,280
I-2855,20,240,360
I-2856,20,280,200
I-2857,50,240,280
I-2858,60,280,200
I-2859,20,240,420
I-2860,20,280,300
I-2861,40,280,360
I-2862,50,280,280
I-2863,60,280,280
I-2864,50,240,200
I-2865,20,260,420
I-2866,20,240,420
I-2867,50,260,420
I-2868,40,280,280
I-2869,60,280,240
I-2870,60,260,280
I-2871,60,280,200
I-2872,50,280,360
I-2873,20,240,280
I-2874,60,260,280
I-2875,40,260,280
I-2876,60,260,280
I-2877,60,280,240
I-2878,40,260,420
I-2879,50,240,200
I-2880,60,240,420
I-2881,50,260,360
I-2882,60,260,240
I-2883,50,260,420
I-2884,40,240,280
I-2885,40,240,200
I-2886,40,280,240
I-2887,60,240,360
I-2888,40,280,280
I-2889,40,240,200
I-2890,50,280,280
I-2891,40,280,420
I-2892,50,240,240
I-2893,60,260,240
I-2894,50,280,280
I-2895,20,260,300
I-2896,50,280,240
I-2897,50,240,240
I-2898,50,240,280
I-2899,40,240,300
I-2900,60,260,240
I-2901,60,240,240
I-2902,50,240,240
I-2903,50,240,240
I-2904,40,280,200
I-2905,60,280,240
I-2906,50,280,200
I-2907,20,260,360
I-2908,60,240,360
I-2909,40,280,360
I-2910,60,240,360
I-2911,20,260,420
I-2912,50,260,200
I-2913,60,260,300
I-2914,50,260,280
I-2915,40,260,420
I-2916,20,240,420
I-2917,20,240,300
I-2918,60,280,300
I-2919,20,240,280
I-2920,60,260,200
I-2921,20,240,200
I-2922,60,240,360
I-2923,20,240,300
I-2924,40,280,200
I-2925,20,240,240
I-2926,40,280,280
I-2927,60,280,360
I-2928,20,260,420
I-2929,50,280,300
I-2930,40,280,200
I-2931,60,260,300
I-2932,50,260,360
I-2933,20,240,200
I-2934,20,260,200
I-2935,50,260,420
I-2936,20,240,280
I-2937,20,240,420
I-2938,50,280,300
I-2939,40,260,200
I-2940,60,260,300
I-2941,60,240,200
I-2942,20,240,200
I-2943,50,280,300
I-2944,40,280,200
I-2945,50,260,200
I-2946,20,240,300
I-2947,50,280,200
I-2948,50,260,200
I-2949,60,280,280
I-2950,60,280,280
I-2951,60,260,360
I-2952,20,260,360
I-2953,40,260,300
I-2954,40,260,420
I-2955,40,280,200
I-2956,60,280,420
I-2957,50,280,420
I-2958,20,260,200
I-2959,40,280,280
I-2960,40,240,300
I-2961,50,260,300
I-2962,60,260,360
I-2963,40,240,200
I-2964,40,260,420
I-2965,20,260,200
I-2966,60,240,300
I-2967,20,280,420
I-2968,60,280,200
I-2969,50,240,280
I-2970,20,280,360
I-2971,20,260,360
I-2972,20,280,360
I-2973,40,240,240
I-2974,50,280,200
I-2975,40,240,300
I-2976,40,280,240
I-2977,20,260,300
I-2978,40,280,240
I-2979,40,280,280
I-2980,40,240,280
I-2981,20,240,360
I-2982,60,260,280
I-2983,50,260,240
I-2984,50,240,360
I-2985,40,240,280
I-2986,20,240,420
I-2987,50,280,300
I-2988,20,260,360
I-2989,20,240,280
I-2990,50,240,300
I-2991,60,240,420
I-2992,50,240,200
I-2993,50,260,300
I-2994,50,260,300
I-2995,50,260,280
I-2996,40,260,300
I-2997,20,280,280
I-2998,40,280,420
I-2999,50,260,420
I-3000,60,280,200
I-3001,50,280,200
I-3002,40,240,300
I-3003,50,240,300
I-3004,40,240,300
I-3005,60,280,280
I-3006,50,280,360
I-3007,40,260,300
I-3008,20,260,360
I-3009,60,260,240
I-3010,20,260,420
I-3011,60,240,420
I-3012,50,260,360
I-3013,50,260,240
I-3014,20,260,300
I-3015,40,260,360
I-3016,60,240,300
I-3017,20,260,200
I-3018,60,240,420
I-3019,50,280,300
I-3020,20,260,280
I-3021,50,240,280
I-3022,40,260,420
I-3023,60,280,360
I-3024,50,280,360
I-3025,20,280,360
I-3026,50,260,280
I-3027,20,280,240
I-3028,50,280,300
I-3029,20,240,240
I-3030,50,260,240
I-3031,40,260,360
I-3032,60,280,360
I-3033,20,280,360
I-3034,50,260,300
I-3035,40,280,280
I-3036,20,240,420
I-3037,60,280,200
I-3038,60,240,240
I-3039,20,280,280
I-3040,20,240,240
I-3041,60,240,200
I-3042,20,240,240
I-3043,50,260,360
I-3044,50,260,300
I-3045,60,240,240
I-3046,60,280,240
I-3047,20,240,280
I-3048,50,280,280
I-3049,20,260,200
I-3050,50,280,420
I-3051,40,240,420
I-3052,40,260,240
I-3053,50,240,360
I-3054,20,260,200
I-3055,40,260,420
I-3056,50,240,360
I-3057,50,280,280
I-3058,40,240,300
I-3059,50,260,300
I-3060,40,240,200
I-3061,20,240,280
I-3062,60,240,240
I-3063,40,240,420
I-3064,40,240,300
I-3065,20,240,360
I-3066,60,280,280
I-3067,60,240,360
I-3068,40,260,420
I-3069,40,280,360
I-3070,60,260,300
I-3071,60,240,280
I-3072,20,260,280
I-3073,50,280,300
I-3074,20,280,420
I-3075,50,260,280
I-3076,60,260,280
I-3077,20,260,300
I-3078,40,240,240
I-3079,40,240,280
I-3080,40,280,240
I-3081,20,260,240
I-3082,50,240,200
I-3083,20,240,240
I-3084,40,240,360
I-3085,50,260,200
I-3086,40,240,200
I-3087,40,280,240
I-3088,20,260,240
I-3089,50,280,200
I-3090,40,260,300
I-3091,50,260,360
I-3092,50,240,200
I-3093,40,260,240
I-3094,60,260,300
I-3095,60,260,360
I-3096,40,240,240
I-3097,50,260,200
I-3098,50,240,420
I-3099,60,240,420
I-3100,50,240,360
I-3101,60,240,300
I-3102,20,260,300
I-3103,20,240,420
I-3104,40,260,360
I-3105,60,240,360
I-3106,50,240,200
I-3107,40,240,360
I-3108,50,280,360
I-3109,50,240,240
I-3110,40,280,200
I-3111,60,280,240
I-3112,50,240,240
I-3113,20,280,280
I-3114,50,240,360
I-3115,50,260,200
I-3116,20,280,300
I-3117,40,260,200
I-3118,20,260,280
I-3119,20,280,200
I-3120,50,240,420
I-3121,40,240,240
I-3122,60,240,200
I-3123,50,240,240
I-3124,50,260,420
I-3125,60,280,240
I-3126,40,260,300
I-3127,60,260,280
I-3128,20,260,360
I-3129,50,260,420
I-3130,50,260,240
I-3131,60,280,280
I-3132,20,240,360
I-3133,40,240,360
I-3134,20,280,240
I-3135,50,240,200
I-3136,20,240,280
I-3137,40,260,200
I-3138,40,240,280
I-3139,50,280,200
I-3140,50,280,420
I-3141,50,260,280
I-3142,20,280,360
I-3143,40,260,280
I-3144,50,280,280
I-3145,40,260,280
I-3146,40,280,200
I-3147,20,280,300
I-3148,50,260,420
I-3149,40,280,200
I-3150,20,280,420
I-3151,50,260,280
I-3152,40,280,200
I-3153,60,280,360
I-3154,20,240,300
I-3155,40,280,420
I-3156,40,240,420
I-3157,40,240,300
I-3158,60,240,300
I-3159,40,240,360
I-3160,50,240,280
I-3161,20,260,300
I-3162,40,260,420
I-3163,60,260,240
I-3164,50,280,360
I-3165,20,260,240
I-3166,40,260,300
I-3167,40,260,300
I-3168,40,280,240
I-3169,20,280,300
I-3170,60,280,280
I-3171,20,240,300
I-3172,50,240,280
I-3173,60,240,200
I-3174,50,260,360
I-3175,50,280,280
I-3176,50,260,280
I-3177,60,260,240
I-3178,50,260,240
I-3179,50,240,360
I-3180,50,240,420
I-3181,60,260,200
I-3182,20,240,280
I-3183,20,280,280
I-3184,50,240,420
I-3185,40,260,240
I-3186,40,240,240
I-3187,60,280,280
I-3188,40,240,360
I-3189,20,260,280
I-3190,60,280,300
I-3191,60,280,280
I-3192,50,240,240
I-3193,50,240,240
I-3194,60,280,240
I-3195,50,280,300
I-3196,50,240,240
I-3197,20,260,360
I-3198,20,280,280
I-3199,20,240,240
I-3200,20,240,420
I-3201,50,280,300
I-3202,60,260,420
I-3203,50,280,300
I-3204,20,260,360
I-3205,40,260,240
I-3206,20,260,300
I-3207,20,260,420
I-3208,40,280,280
I-3209,50,260,280
I-3210,20,260,240
I-3211,20,240,280
I-3212,60,240,280
I-3213,50,240,360
I-3214,40,280,280
I-3215,20,260,240
I-3216,40,260,300
I-3217,50,260,300
I-3218,60,240,300
I-3219,40,280,300
I-3220,20,240,200
I-3221,50,280,280
I-3222,40,260,360
I-3223,60,260,300
I-3224,60,240,280
I-3225,40,260,300
I-3226,60,280,200
I-3227,40,260,200
I-3228,60,280,420
I-3229,40,280,200
I-3230,50,240,420
I-3231,50,240,360
I-3232,50,240,240
I-3233,50,280,420
I-3234,20,260,360
I-3235,40,240,280
I-3236,60,260,200
I-3237,20,260,420
I-3238,60,280,360
I-3239,60,240,360
I-3240,20,240,240
I-3241,40,260,280
I-3242,40,240,280
I-3243,60,240,280
I-3244,40,280,300
I-3245,40,260,300
I-3246,20,240,240
I-3247,20,260,300
I-3248,60,240,360
I-3249,50,260,420
I-3250,50,280,240
I-3251,20,240,360
I-3252,60,260,240
I-3253,50,280,280
I-3254,40,240,200
I-3255,50,260,300
I-3256,40,240,200
I-3257,60,280,420
I-3258,40,240,280
I-3259,40,280,240
I-3260,50,260,200
I-3261,60,260,280
I-3262,50,280,280
I-3263,60,260,360
I-3264,20,280,280
I-3265,40,240,420
I-3266,60,240,300
I-3267,60,280,300
I-3268,20,280,200
I-3269,60,280,420
I-3270,40,240,420
I-3271,60,240,300
I-3272,40,260,420
I-3273,60,260,240
I-3274,60,260,280
I-3275,50,260,200
I-3276,20,280,420
I-3277,40,240,420
I-3278,60,240,300
I-3279,50,260,360
I-3280,40,240,280
I-3281,20,280,360
I-3282,60,240,420
I-3283,20,240,280
I-3284,20,280,280
I-3285,20,240,420
I-3286,40,280,300
I-3287,60,280,360
I-3288,50,240,300
I-3289,20,280,280
I-3290,40,260,360
I-3291,50,280,240
I-3292,20,260,280
I-3293,20,280,420
I-3294,60,260,420
I-3295,60,260,200
I-3296,20,260,200
I-3297,50,260,240
I-3298,50,260,200
I-3299,50,240,360
I-3300,40,240,420
I-3301,60,280,300
I-3302,50,280,420
I-3303,20,280,240
I-3304,50,280,360
I-3305,50,260,420
I-3306,20,240,200
I-3307,40,260,300
I-3308,40,240,280
I-3309,60,280,360
I-3310,40,260,280
I-3311,50,260,420
I-3312,40,280,200
I-3313,60,260,280
I-3314,40,280,280
I-3315,50,280,240
I-3316,50,260,200
I-3317,40,260,200
I-3318,50,240,200
I-3319,20,240,240
I-3320,40,240,240
I-3321,40,240,420
I-3322,20,240,280
I-3323,50,280,200
I-3324,50,260,360
I-3325,60,240,280
I-3326,20,260,360
I-3327,20,260,300
I-3328,60,240,360
I-3329,20,280,280
I-3330,50,260,300
I-3331,40,260,280
I-3332,50,240,420
I-3333,50,260,240
I-3334,60,260,280
I-3335,50,280,280
I-3336,40,280,360
I-3337,40,260,200
I-3338,60,260,280
I-3339,50,240,200
I-3340,20,240,280
I-3341,60,240,360
I-3342,60,240,420
I-3343,60,260,300
I-3344,50,280,420
I-3345,20,240,200
I-3346,60,240,280
I-3347,60,240,360
I-3348,60,260,300
I-3349,20,240,300
I-3350,40,280,280
I-3351,50,260,200
I-3352,50,240,200
I-3353,60,260,360
I-3354,20,260,420
I-3355,50,280,240
I-3356,20,280,280
I-3357,20,240,200
I-3358,40,280,280
I-3359,20,240,420
I-3360,50,280,240
I-3361,60,240,300
I-3362,40,240,200
I-3363,60,280,420
I-3364,40,260,240
I-3365,20,260,280
I-3366,50,280,200
I-3367,60,240,200
I-3368,20,240,200
I-3369,60,280,300
I-3370,50,240,200
I-3371,60,240,280
I-3372,50,240,300
I-3373,60,240,240
I-3374,40,280,240
I-3375,40,240,280
I-3376,60,260,240
I-3377,20,240,280
I-3378,40,280,300
I-3379,60,280,300
I-3380,40,280,420
I-3381,20,260,420
I-3382,40,280,240
I-3383,50,280,240
I-3384,50,280,300
I-3385,60,240,360
I-3386,40,280,280
I-3387,40,260,200
I-3388,50,280,420
I-3389,50,240,300
I-3390,60,260,200
I-3391,40,240,420
I-3392,50,280,240
I-3393,60,280,420
I-3394,20,240,300
I-3395,50,240,300
I-3396,50,240,200
I-3397,40,240,360
I-3398,60,280,420
I-3399,50,260,200
I-3400,60,240,420
I-3401,40,260,200
I-3402,50,280,240
I-3403,40,260,420
I-3404,40,280,300
I-3405,60,240,240
I-3406,60,280,200
I-3407,60,280,360
I-3408,60,240,200
I-3409,40,240,360
I-3410,50,240,240
I-3411,20,240,360
I-3412,60,240,200
I-3413,20,240,240
I-3414,50,280,240
I-3415,20,240,420
I-3416,60,240,240
I-3417,60,240,360
I-3418,40,260,200
I-3419,40,280,280
I-3420,60,260,200
I-3421,40,240,240
I-3422,50,280,240
I-3423,40,280,240
I-3424,20,240,280
I-3425,50,280,300
I-3426,20,280,280
I-3427,40,280,280
I-3428,20,260,200
I-3429,50,240,200
I-3430,20,280,420
I-3431,60,260,420
I-3432,40,260,200
I-3433,60,260,280
I-3434,60,260,300
I-3435,40,280,360
I-3436,50,280,200
I-3437,40,240,300
I-3438,20,260,200
I-3439,50,240,280
I-3440,20,260,300
I-3441,20,260,420
I-3442,60,260,360
I-3443,60,280,240
I-3444,40,240,200
I-3445,50,240,200
I-3446,50,280,360
I-3447,60,280,420
I-3448,60,280,300
I-3449,50,240,420
I-3450,20,280,280
I-3451,20,280,200
I-3452,50,260,280
I-3453,50,260,240
I-3454,20,260,240
I-3455,60,240,300
I-3456,50,260,200
I-3457,40,240,200
I-3458,20,240,360
I-3459,20,240,200
I-3460,60,260,300
I-3461,40,260,420
I-3462,50,260,300
I-3463,20,280,280
I-3464,60,260,280
I-3465,40,240,420
I-3466,40,240,240
I-3467,60,240,420
I-3468,60,240,280
I-3469,50,240,200
I-3470,60,260,420
I-3471,50,260,360
I-3472,60,260,240
I-3473,60,280,280
I-3474,60,280,240
I-3475,50,240,200
I-3476,50,260,280
I-3477,60,280,420
I-3478,50,240,420
I-3479,40,280,200
I-3480,40,260,240
I-3481,50,260,200
I-3482,20,260,280
I-3483,20,280,360
I-3484,20,240,200
I-3485,20,280,300
I-3486,20,240,200
I-3487,60,260,280
I-3488,40,260,300
I-3489,20,260,240
I-3490,20,280,360
I-3491,60,260,420
I-3492,50,280,420
I-3493,50,260,420
I-3494,40,240,360
I-3495,20,240,420
I-3496,40,280,420
I-3497,60,280,360
I-3498,50,280,300
I-3499,40,240,200
I-3500,60,280,200
I-3501,50,240,200
I-3502,50,260,200
I-3503,50,280,300
I-3504,40,260,360
I-3505,60,280,300
I-3506,40,260,280
I-3507,40,240,200
I-3508,50,280,280
I-3509,40,240,420
I-3510,60,280,240
I-3511,60,260,200
I-3512,40,260,200
I-3513,20,240,360
I-3514,20,280,360
I-3515,20,260,280
I-3516,40,280,200
I-3517,60,280,280
I-3518,20,280,300
I-3519,20,260,420
I-3520,50,280,200
I-3521,20,280,200
I-3522,60,280,200
I-3523,40,260,360
I-3524,40,260,280
I-3525,20,260,280
I-3526,50,240,200
I-3527,50,280,200
I-3528,20,280,280
I-3529,40,240,240
I-3530,20,240,240
I-3531,50,260,280
I-3532,40,280,200
I-3533,40,280,280
I-3534,60,240,420
I-3535,20,260,300
I-3536,50,240,300
I-3537,20,240,280
I-3538,60,260,280
I-3539,20,260,240
I-3540,60,280,200
I-3541,40,260,200
I-3542,40,280,200
I-3543,40,260,200
I-3544,40,280,240
I-3545,60,280,300
I-3546,50,280,300
I-3547,60,260,300
I-3548,40,260,240
I-3549,50,240,240
I-3550,20,280,300
I-3551,50,280,200
I-3552,20,260,360
I-3553,40,260,300
I-3554,40,280,420
I-3555,60,260,280
I-3556,40,240,200
I-3557,50,280,240
I-3558,50,280,200
I-3559,50,280,240
I-3560,40,260,360
I-3561,40,240,300
I-3562,40,280,240
I-3563,20,240,420
I-3564,50,260,200
I-3565,50,260,300
I-3566,50,280,200
I-3567,40,280,280
I-3568,20,240,420
I-3569,40,260,280
I-3570,50,260,240
I-3571,50,260,240
I-3572,60,280,200
I-3573,60,240,280
I-3574,20,240,200
I-3575,20,260,280
I-3576,20,280,300
I-3577,60,280,300
I-3578,40,260,240
I-3579,50,280,200
I-3580,40,260,280
I-3581,40,240,280
I-3582,20,240,300
I-3583,20,240,420
I-3584,40,240,420
I-3585,40,260,360
I-3586,60,240,360
I-3587,50,280,280
I-3588,20,280,420
I-3589,50,280,240
I-3590,40,280,280
I-3591,20,260,420
I-3592,40,280,280
I-3593,60,280,240
I-3594,60,240,420
I-3595,60,240,300
I-3596,20,280,280
I-3597,40,260,360
I-3598,60,260,300
I-3599,60,280,280
I-3600,60,260,200
I-3601,20,260,420
I-3602,40,260,240
I-3603,50,260,240
I-3604,50,280,300
I-3605,60,240,300
I-3606,20,280,420
I-3607,50,240,240
I-3608,50,260,280
I-3609,60,260,280
I-3610,20,280,200
I-3611,20,260,240
I-3612,20,240,420
I-3613,40,260,240
I-3614,40,280,360
I-3615,40,280,300
I-3616,50,260,200
I-3617,20,240,300
I-3618,50,280,300
I-3619,40,280,280
I-3620,60,280,200
I-3621,20,280,360
I-3622,20,260,420
I-3623,60,260,360
I-3624,50,280,420
I-3625,60,260,360
I-3626,60,260,280
I-3627,60,260,280
I-3628,60,240,280
I-3629,40,240,240
I-3630,50,280,300
I-3631,20,240,420
I-3632,60,260,200
I-3633,60,260,360
I-3634,40,280,280
I-3635,20,240,280
I-3636,60,260,280
I-3637,20,240,240
I-3638,50,240,420
I-3639,60,260,280
I-3640,40,240,360
I-3641,20,240,300
I-3642,40,280,200
I-3643,40,260,200
I-3644,50,240,420
I-3645,20,240,280
I-3646,40,280,420
I-3647,50,280,300
I-3648,50,240,300
I-3649,40,280,280
I-3650,20,280,420
I-3651,50,240,200
I-3652,50,240,240
I-3653,50,240,360
I-3654,50,280,420
I-3655,50,280,360
I-3656,50,260,280
I-3657,60,280,360
I-3658,60,260,300
I-3659,60,280,360
I-3660,40,280,200
I-3661,60,280,300
I-3662,50,280,200
I-3663,20,240,300
I-3664,40,280,360
I-3665,20,260,420
I-3666,40,280,360
I-3667,40,280,280
I-3668,40,240,360
I-3669,20,280,360
I-3670,40,240,360
I-3671,20,240,300
I-3672,40,280,200
I-3673,60,280,420
I-3674,40,280,420
I-3675,40,240,420
I-3676,40,280,300
I-3677,40,260,240
I-3678,60,240,420
I-3679,60,280,300
I-3680,60,240,200
I-3681,50,240,200
I-3682,20,240,300
I-3683,60,260,300
I-3684,20,260,280
I-3685,40,260,300
I-3686,40,240,240
I-3687,40,240,300
I-3688,40,260,280
I-3689,50,240,280
I-3690,40,260,280
I-3691,60,240,240
I-3692,20,240,420
I-3693,60,240,240
I-3694,50,280,420
I-3695,50,240,200
I-3696,20,280,200
I-3697,40,240,300
I-3698,50,240,280
I-3699,60,240,360
I-3700,60,280,300
I-3701,60,240,240
I-3702,20,260,240
I-3703,60,280,200
I-3704,40,260,280
I-3705,50,240,300
I-3706,60,240,280
I-3707,60,260,420
I-3708,40,260,300
I-3709,40,260,240
I-3710,40,280,420
I-3711,60,280,300
I-3712,20,260,360
I-3713,20,260,280
I-3714,50,240,280
I-3715,20,260,280
I-3716,50,260,360
I-3717,20,260,300
I-3718,60,240,280
I-3719,20,240,280
I-3720,40,280,240
I-3721,50,240,280
I-3722,20,260,300
I-3723,50,260,200
I-3724,40,240,300
I-3725,20,240,300
I-3726,50,240,360
I-3727,50,240,420
I-3728,40,240,240
I-3729,40,240,200
I-3730,50,260,300
I-3731,60,260,280
I-3732,40,240,420
I-3733,50,240,420
I-3734,50,280,360
I-3735,60,280,360
I-3736,20,260,300
I-3737,40,260,300
I-3738,40,240,300
I-3739,50,260,360
I-3740,50,260,300
I-3741,20,280,300
I-3742,60,260,200
I-3743,60,260,280
I-3744,50,240,280
I-3745,50,260,360
I-3746,20,280,360
I-3747,50,260,280
I-3748,50,280,420
I-3749,20,280,300
I-3750,40,240,360
I-3751,50,240,240
I-3752,20,240,280
I-3753,50,240,240
I-3754,40,280,300
I-3755,60,240,200
I-3756,50,260,360
I-3757,50,260,280
I-3758,40,280,240
I-3759,50,260,360
I-3760,40,260,240
I-3761,20,260,240
I-3762,40,240,280
I-3763,60,260,360
I-3764,60,280,240
I-3765,20,240,280
I-3766,50,240,240
I-3767,50,240,360
I-3768,20,280,300
I-3769,50,240,200
I-3770,40,260,420
I-3771,50,240,240
I-3772,50,240,300
I-3773,50,280,280
I-3774,20,280,200
I-3775,50,240,360
I-3776,50,240,300
I-3777,20,260,200
I-3778,60,260,200
I-3779,40,240,280
I-3780,40,260,420
I-3781,40,240,300
I-3782,60,280,200
I-3783,60,240,420
I-3784,20,240,240
I-3785,20,260,420
I-3786,40,240,300
I-3787,40,260,240
I-3788,60,240,200
I-3789,20,260,300
I-3790,20,260,280
I-3791,20,240,280
I-3792,50,260,360
I-3793,50,280,240
I-3794,50,240,360
I-3795,60,280,420
I-3796,20,280,420
I-3797,50,280,360
I-3798,60,260,200
I-3799,60,260,360
I-3800,40,240,240
I-3801,60,240,360
I-3802,60,260,300
I-3803,60,280,420
I-3804,60,280,240
I-3805,50,260,280
I-3806,50,260,300
I-3807,40,260,280
I-3808,20,240,240
I-3809,50,240,280
I-3810,40,260,360
I-3811,50,280,360
I-3812,50,280,280
I-3813,60,260,360
I-3814,40,240,200
I-3815,60,260,360
I-3816,60,240,200
I-3817,50,240,420
I-3818,20,280,420
I-3819,40,260,360
I-3820,40,260,280
I-3821,20,260,200
I-3822,20,240,200
I-3823,40,280,280
I-3824,50,240,240
I-3825,50,260,240
I-3826,50,260,420
I-3827,50,280,300
I-3828,20,240,200
I-3829,60,260,280
I-3830,50,240,240
I-3831,60,260,280
I-3832,20,260,300
I-3833,40,260,240
I-3834,50,260,200
I-3835,60,260,300
I-3836,20,280,360
I-3837,50,260,360
I-3838,50,260,300
I-3839,60,260,200
I-3840,50,240,280
I-3841,40,260,420
I-3842,50,240,300
I-3843,40,280,200
I-3844,60,280,280
I-3845,50,240,420
I-3846,40,260,420
I-3847,50,280,200
I-3848,50,240,200
I-3849,20,260,240
I-3850,50,280,200
I-3851,40,240,280
I-3852,50,280,200
I-3853,20,240,240
I-3854,50,240,360
I-3855,50,280,280
I-3856,60,240,360
I-3857,20,240,200
I-3858,60,260,360
I-3859,60,280,360
I-3860,40,240,420
I-3861,40,260,200
I-3862,40,260,300
I-3863,50,240,420
I-3864,20,260,420
I-3865,20,280,280
I-3866,40,280,300
I-3867,20,260,200
I-3868,20,240,360
I-3869,20,240,300
I-3870,60,240,420
I-3871,50,240,240
I-3872,60,260,420
I-3873,50,280,360
I-3874,60,240,300
I-3875,40,240,240
I-3876,50,260,360
I-3877,50,280,240
I-3878,60,240,420
I-3879,60,280,200
I-3880,20,240,420
I-3881,50,240,280
I-3882,60,280,360
I-3883,40,240,280
I-3884,20,240,360
I-3885,60,260,200
I-3886,50,240,420
I-3887,50,240,200
I-3888,20,260,420
I-3889,40,260,300
I-3890,50,280,420
I-3891,50,240,280
I-3892,50,240,420
I-3893,40,280,280
I-3894,60,240,240
I-3895,20,260,420
I-3896,60,260,300
I-3897,50,260,300
I-3898,40,260,200
